id,titulo,enlace,imagen_principal,camaras,area,ciudad,precio,descripcion,habitaciones,banos,tamano,parqueos
2821389,Apartamento Gigante con patio en Vista Hermosa I,https://mapainmueble.com/properties/apartamento-gigante-con-patio-en-vista-hermosa-i-daa43834/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c1b83a18080-1-835x467.webp,34,Zona 15,"*Guatemala, Ciudad","$ 1,850Incluye Mantenimiento","¡Exclusivo Apartamento en Venta o Renta! Mediterranium, Zona 15 Descubre la comodidad y lu...",3,3.5,341 m2,2
2816041,Apartamento en Renta en Cupertino,https://mapainmueble.com/properties/apartamento-en-renta-en-cupertino-daa43768/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-25-67be19b2072bc-835x467.webp,11,Santa Catarina Pinula,"*Guatemala, Ciudad",$ 950$,"Elegante apartamento en Renta, en Cupertino Sala comedor Cocina abierta con elegantes mueb...",2,1.5,119 m2,2
2810458,"ALQUILER APARTAMENTO ZONA 14, LAS CONCHAS",https://mapainmueble.com/properties/alquiler-apartamento-zona-14-las-conchas-caa13525/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-21-67b951b088387-2-835x467.webp,45,Zona 14,"*Guatemala, Ciudad","$ 2,100VER DETALLES",Descripción ALQUILO LINDO APARTAMENTO DE 2 DORMITORIOS EN LAS CONCHAS ZONA 14 Cuenta con 2...,2,2,290 m2,2
2806268,"ALQUILER APARTAMENTO ZONA 14, AMUEBLADO",https://mapainmueble.com/properties/alquiler-apartamento-zona-14-amueblado-daa43643/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-19-67b69c729f6dd-2-835x467.webp,45,Zona 14,"*Guatemala, Ciudad","$ 1,800VER DETALLES",Alquilo apartamento amueblado y equipado en zona 14. Ubicado en uno de los edificios más e...,2,2,125 m2,2
2801852,Apartamento en alquiler Acantos de Cayala zona 16 de 3 dormitorios,https://mapainmueble.com/properties/apartamento-en-alquiler-acantos-de-cayala-zona-16-de-3-dormitorios-daa43550/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-18-67b4afcfcf4f4-835x467.webp,9,Zona 16,"*Guatemala, Ciudad","$ 3,800IVA y mantenimiento incl.",Apartamento en renta Acantos de Cayala de 3 dormitorios Espectacular apartamento en ciudad...,3,3.5,339 m2,4
2800309,Alquiler de apartamento full amueblado y equipado de 2 hab en zona 10,https://mapainmueble.com/properties/alquiler-de-apartamento-full-amueblado-y-equipado-de-2-hab-en-zona-10-daa43531/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-17-67b3d1c173d7d-835x467.webp,8,Zona 10,"*Guatemala, Ciudad","$ 1,300Incl Mantenimiento + IVA",Alquiler de apartamento full amueblado y equipado en zona 10 90mts2 de apto + 28mts2 de pa...,2,2,118 m2,2
2796349,"Renta de apartamento en Zona 14, Santa Inés del Parque de 2 dormitorios",https://mapainmueble.com/properties/renta-de-apartamento-en-zona-14-santa-ines-del-parque-de-2-dormitorios-daa43462/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-14-67aedc6c49d70-835x467.webp,8,Zona 14,"*Guatemala, Ciudad","$ 2,200","🏡 Apartamento en alquiler en Santa Inés del Parque, Zona 14 Disfruta de la comodidad en un...",2,2.5,152 m2,2
2793443,"Apartamento en Renta en Edificio Trento Diez, zona 10, Ciudad de Guatemala",https://mapainmueble.com/properties/apartamento-en-renta-en-edificio-trento-diez-zona-10-ciudad-de-guatemala-caa13434/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-11-67ac03918f422-835x467.webp,14,Zona 10,"*Guatemala, Ciudad","$ 1,500$",Características del apartamento: • 115 m2. • 3 dormitorios • 2 baños • 2 parqueos + bodega...,3,2,115 m2,2
2787271,Apartamento en renta zona 5 Céntrico amueblado,https://mapainmueble.com/properties/apartamento-en-renta-zona-5-centrico-amueblado-daa43295/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-18-67b541a6e0900-600x467.webp,10,Zona 5,"*Guatemala, Ciudad",$ 815,Apartamento en alquiler zona 5 Céntrico amueblado 50 mts cuadrados 1 habitacione con walk-...,1,1,65 m2,1
2787260,Apartamento en renta zona 16 Lirios Cayala Amueblado,https://mapainmueble.com/properties/apartamento-en-renta-zona-16-lirios-cayala-amueblado-daa43294/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-06-67a54e68d40b9-600x467.webp,21,Zona 16,"*Guatemala, Ciudad","$ 1,600",Apartamento en alquiler zona 16 LIRIOS DE CAYALA AMUEBLADO 2 habitaciones 2 baños completo...,2,2,110 m2,2
