id,camaras,area,precio,habitaciones,banos,tamano,parqueos
2821389,34,15,1850.0,3,3.5,341.0,2
2816041,11,Santa Catarina Pinula,950.0,2,1.5,119.0,2
2810458,45,14,2100.0,2,2.0,290.0,2
2806268,45,14,1800.0,2,2.0,125.0,2
2801852,9,16,3800.0,3,3.5,339.0,4
2800309,8,10,1300.0,2,2.0,118.0,2
2796349,8,14,2200.0,2,2.5,152.0,2
2793443,14,10,1500.0,3,2.0,115.0,2
2787271,10,5,815.0,1,1.0,65.0,1
2787260,21,16,1600.0,2,2.0,110.0,2
2784449,14,10,2100.0,3,2.5,230.0,2
2783417,12,13,1200.0,3,2.0,94.0,2
2767599,1,16,6800.0,3,2.0,125.0,2
2766339,10,14,2200.0,2,2.5,150.0,2
2749582,10,16,1550.0,2,2.0,160.0,2
2734566,11,16,3000.0,2,2.5,205.0,2
2732408,4,10,2000.0,3,4.0,192.0,3
2724362,10,16,800.0,2,2.0,71.0,2
2721902,9,14,3499.0,3,3.5,252.0,3
2719378,9,16,3800.0,3,3.5,339.0,4
2697322,12,14,3499.0,3,3.5,252.0,3
2483855,11,15,1400.0,2,2.0,70.0,2
2453643,17,14,17000.0,2,2.0,75.0,2
1716200,12,15,1950.0,3,3.5,445.0,3
2823428,6,14,1620.0,3,3.0,139.0,2
2823407,10,5,3475.0,1,1.0,37.0,2
2823399,6,14,2959.0,2,2.0,295.0,2
2823374,10,8,367.0,2,1.0,100.0,0
2823277,8,16,3300.0,3,2.5,299.0,2
2823192,24,15,5850.0,2,2.0,70.0,1
2823014,17,4,840.0,3,2.5,84.0,2
2822993,5,15,544.0,1,1.0,48.0,1
2822986,6,15,525.0,1,1.0,40.0,1
2822922,9,2,769.0,2,2.0,70.0,2
2822761,32,11,885.0,3,2.0,98.0,3
2822713,12,14,1250.0,3,2.0,139.0,2
2822650,26,10,813.0,4,3.0,130.0,2
2822532,31,14,1150.0,3,2.0,88.0,2
2822530,8,16,1750.0,3,2.0,133.0,2
2822495,34,4,769.0,3,2.0,77.0,2
2822402,5,10,550.0,1,1.0,38.0,0
2822358,5,16,665.0,1,1.0,50.0,0
2822189,7,7,576.0,2,2.0,60.0,1
2822159,17,14,2200.0,2,2.0,295.0,2
2822099,4,13,700.0,1,1.0,33.0,1
2821885,28,10,850.0,1,1.0,70.0,1
2821866,7,14,1700.0,3,2.0,137.0,2
2821644,24,14,2200.0,2,2.5,295.0,2
2821585,11,10,4000.0,3,3.5,238.0,0
2821551,5,7,595.0,3,3.0,79.0,2
2821520,9,14,2200.0,2,2.5,295.0,2
2821518,1,14,2200.0,2,2.5,160.0,2
2821450,11,15,1650.0,3,3.0,199.0,2
2821303,2,10,725.0,1,1.0,1.0,1
2821254,12,10,2000.0,3,2.5,199.0,2
