id,camaras,area,precio,habitaciones,banos,tamano,parqueos
2821389,34,15,1850,3,3.5,341,2
2816041,11,Santa Catarina Pinula,950,2,1.5,119,2
2810458,45,14,2100,2,2,290,2
2806268,45,14,1800,2,2,125,2
2801852,9,16,3800,3,3.5,339,4
2800309,8,10,1300,2,2,118,2
2796349,8,14,2200,2,2.5,152,2
2793443,14,10,1500,3,2,115,2
2787271,10,5,815,1,1,65,1
2787260,21,16,1600,2,2,110,2
2784449,14,10,2100,3,2.5,230,2
2783417,12,13,1200,3,2,94,2
2767599,1,16,6800,3,2,125,2
2766339,10,14,2200,2,2.5,150,2
2749582,10,16,1550,2,2,160,2
2734566,11,16,3000,2,2.5,205,2
2732408,4,10,2000,3,4,192,3
2724362,10,16,800,2,2,71,2
2721902,9,14,3499,3,3.5,252,3
2719378,9,16,3800,3,3.5,339,4
2697322,12,14,3499,3,3.5,252,3
2483855,11,15,1400,2,2,70,2
2453643,17,14,17000,2,2,75,2
1716200,12,15,1950,3,3.5,445,3
2823428,6,14,1620,3,3,139,2
2823407,10,5,3475,1,1,37,2
2823399,6,14,2959,2,2,295,2
2823374,10,8,367,2,1,100,0
2823277,8,16,3300,3,2.5,299,2
2823192,24,15,5850,2,2,70,1
2823076,11,14,2500,3,3,na,3
2823014,17,4,840,3,2.5,84,2
2822993,5,15,544,1,1,48,1
2822986,6,15,525,1,1,40,1
2822922,9,2,769,2,2,70,2
2822761,32,11,885,3,2,98,3
2822713,12,14,1250,3,2,139,2
2822650,26,10,813,4,3,130,2
2822532,31,14,1150,3,2,88,2
2822530,8,16,1750,3,2,133,2
2822495,34,4,769,3,2,77,2
2822402,5,10,550,1,1,38,0
2822358,5,16,665,1,1,50,0
2822295,15,10,2700,3,3.5,na,2
2822189,7,7,576,2,2,60,1
2822159,17,14,2200,2,2,295,2
2822099,4,13,700,1,1,33,1
2821885,28,10,850,1,1,70,1
2821876,27,16,879,1,1,na,1
2821866,7,14,1700,3,2,137,2
2821699,13,16,637,1,1,na,1
2821691,7,10,1200,3,2,na,1
2821644,24,14,2200,2,2.5,295,2
2821585,11,10,4000,3,3.5,238,0
2821551,5,7,595,3,3,79,2
2821520,9,14,2200,2,2.5,295,2
2821518,1,14,2200,2,2.5,160,2
2821501,8,2,5484300,3,1.5,80,1
2821473,11,10,705,1,1,na,1
2821450,11,15,1650,3,3,199,2
2821437,12,10,1700,3,2.5,na,2
2821365,12,14,2000,4,2.5,na,2
2821352,12,16,3200,3,2.5,na,4
2821344,7,16,705,2,2,na,2
2821320,12,10,1300,2,1,na,2
2821316,3,11,500,1,1,na,1
2821303,2,10,725,1,1,1,1
2821282,9,10,2200,4,2.5,na,3
2821254,12,10,2000,3,2.5,199,2
2821243,10,11,743,3,2,na,2
2821231,11,10,1275,2,2,100,2
2821208,11,10,1560,2,2.5,na,2
2821177,2,1,750,2,1,60,0
2821089,9,Carretera a El Salvador,583,3,1,na,2
2821043,5,16,1300,2,2,80,2
2821007,3,2,3900,3,1,60,2
2820972,6,16,3000,3,3.5,200,2
2820920,16,16,2,2,1,76,2
2820856,12,14,775,1,1.5,na,3
2820827,10,14,2350,3,3.5,169,2
2820810,7,16,950,1,1,45,1
2820531,9,15,1100,2,2,80,2
2820450,12,10,1050,3,2,69,2
2820382,7,14,1700,3,2,132,2
2820349,14,16,1700,2,2,80,1
2820315,8,14,850,1,1,56,1
2820246,15,14,875,1,1,44,1
2820235,10,13,7735950,3,2,70,2
2820205,13,14,2800,4,4,275,2
2820165,10,14,2200,2,2.5,295,2
2820162,2,10,581,1,1,na,1
2820145,11,11,1150,3,2.5,161,2
2820109,15,10,1300,2,2,259,2
2820077,6,10,740,2,1,na,2
2819991,17,15,1100,2,2,na,2
2819836,9,Carretera a El Salvador,5800,3,2,96,2
2819765,6,15,8502,2,2,67,2
2819561,45,14,2500,2,2.5,146,2
2819476,11,10,13003,3,2.5,175,2
2820109,15,10,1300,2,2,259,2
2820077,6,10,740,2,1,na,2
2819991,17,15,1100,2,2,na,2
2819836,9,Carretera a El Salvador,5800,3,2,96,2
2819765,6,15,8502,2,2,67,2
2819561,45,14,2500,2,2.5,146,2
2819476,11,10,13003,3,2.5,175,2
2819472,42,10,22003,3,2.5,230,2
2819386,31,7,565,3,2,138,2
2818635,9,14,1150,3,2,150,2
2818625,9,10,850,2,2,140,1
2818615,8,10,1335,2,2,93,2
2818517,41,16,1500,2,2,84,1
2818480,5,14,900,1,1,58,1
2818368,45,10,1300,1,2,na,1
2818316,51,14,5000,3,3.5,350,3
2818304,1,16,3300,3,4,299,3
2818279,2,5,850,1,1,50,0
2818164,12,16,2750,3,2.5,na,2
2818109,8,10,750,1,1.5,60,1
2818016,11,12,705,2,1,60,2
2817994,45,13,1500,3,2.5,118,2
2817819,13,16,577,2,1,na,2
2817611,10,4,4502,2,1,60,1
2817605,47,7,5952,2,2,64,1
2817513,51,15,1300,2,2,116,2
2817375,39,16,1100,2,2,na,2
2817123,6,10,1600,2,2,150,2
2817012,51,16,2,3,na,na,0
2816995,7,16,900,2,2.5,86,2
2816970,10,10,1300,2,2,60,2
2816959,10,10,975,1,1.5,46,1
2816912,11,10,630,2,2,100,1
2816899,18,10,3990,4,2.5,154,2
2816743,9,14,850,1,1,56,1
2816733,3,10,872,1,1,44,1
2816912,11,10,630,2,2,100,1
2816899,18,10,3990,4,2.5,154,2
2816743,9,14,850,1,1,56,1
2816733,3,10,872,1,1,44,1
2816699,3,15,1700,3,2.5,123,2
2816691,7,14,2965,2,2,295,2
2816661,8,4,650,1,1,1,1
2816627,4,10,490,1,1,70,1
2816456,6,15,1250,2,2,80,2
2816422,45,14,1192.46,3,2,82,2
2816271,9,16,875,2,2,90,2
2816227,6,Santa Catarina Pinula,537,3,1,60,1
2816203,45,14,9947900,2,2,62,2
2816125,13,10,1000,2,2,70,3
2816053,9,14,820,1,1,100,1
2815838,9,15,1150,3,2,102,2
2815765,13,16,850,2,2,83,3
